"StateAbbr","PlaceName","Population2010","ACCESS","ARTHRITIS","BINGE","BPHIGH","BPMED","CANCER","CASTHMA","CHD","CHECKUP","CHOLSCREEN","COLON_SCREEN","COPD","COREM","COREW","CSMOKING","DENTAL","DIABETES","DRUGS","HIGHCHOL","KIDNEY","LPA","MAMMOUSE","MHLTH","OBESITY","PAPTEST","PHLTH","SLEEP","STROKE","TEETHLOST","Geolocation"
"AL","Birmingham",212237,22.6,32.6,11.5,45.6,81.4,6.1,11.4,7.7,"Top25th",73.3,61.1,9.5,29.9,27.3,21.9,"BelowAvg",16.2,"BelowAvg",39.7,3.3,31.5,76.8,"Top25th",31.7,78.6,18.3,46.5,5,"ExtremelyPoor","(33.52756637730, -86.7988174678)"
"AL","Hoover",81619,10.6,26.3,15.4,32.9,78.1,7,8.2,5.5,"Top25th",78.1,72.4,5.5,41.7,41.5,13.3,"AboveAvg",8,"BelowAvg",39.5,2.3,18,79.7,"Second25th",21.1,85.8,10.3,34.6,2.3,"Good","(33.37676027290, -86.8051937568)"
"AL","Huntsville",180105,17.4,30,12.2,37.3,79.1,6.8,9.7,7,"Third25th",75.5,65,7.7,39.5,36.6,20.9,"NearAvg",11,"BelowAvg",40.3,2.7,25,76.9,"Top25th",26.4,82.4,14,39.2,3.3,"Moderate","(34.69896926710, -86.6387042882)"
"AL","Mobile",195111,20,33.1,12.5,44.1,81.1,6.9,10.7,8.2,"Top25th",73.2,61.6,9.1,33.9,31.6,21.5,"BelowAvg",14.5,"BelowAvg",43.1,3.2,27.6,76,"Top25th",30.8,80.8,16.6,41.6,4.3,"ExtremelyPoor","(30.67762486480, -88.1184482714)"
"AL","Montgomery",205764,19.7,31,12.5,40.1,80.6,6.2,10.8,7.1,"Top25th",74,62.1,8.6,31.6,27.2,21.4,"BelowAvg",13.2,"BelowAvg",40.7,3,27.7,77.1,"Top25th",30.2,81.7,16.1,41.1,4,"ExtremelyPoor","(32.34726453330, -86.2677059552)"
"AL","Tuscaloosa",90468,20.3,24.8,14.4,31.7,74.6,5,11.2,5.6,"Third25th",63.4,63.1,7.6,35.5,33.2,22.9,"BelowAvg",10.2,"AboveAvg",38,2.3,25.8,77.1,"Top25th",31.8,77.2,14.1,39.5,3.1,"ExtremelyPoor","(33.23360839510, -87.5268004073)"
"AK","Anchorage",291826,15.5,19.3,21.6,27.8,62.1,5.3,8.7,4.2,"Lowest25th",68,57.5,4.7,32.4,28.8,19.2,"AboveAvg",7.4,"AboveAvg",35.9,2.1,18.5,68.9,"Lowest25th",22.3,78.3,9.6,34,2.2,"Good","(61.14986873100, -149.111113424)"
"AZ","Avondale",76238,23.4,18.5,16.6,23.3,66.5,4.1,10,4.3,"Lowest25th",66.1,56.6,5.5,28.3,27.5,19.7,"BelowAvg",8.7,"AboveAvg",34.1,2.9,22.6,75.9,"Third25th",23.4,79.7,12.1,37,2.3,"Moderate","(33.38583674050, -112.323626619)"
"AZ","Chandler",236123,13.1,19.4,17,24,69.1,5.2,9.2,4.2,"Second25th",71.8,64.8,4.9,33.8,34.8,16.1,"AboveAvg",7.1,"BelowAvg",35.5,2.8,17,78.6,"Lowest25th",19.9,83,9.4,33.7,2,"Good","(33.28318981000, -111.852210033)"
"AZ","Gilbert",208453,10.5,18.2,18.5,22.2,67.2,5,9.1,3.7,"Second25th",72.3,66.5,4.5,34.6,36.7,15.8,"AboveAvg",6.1,"AboveAvg",34.1,2.6,14.9,79.6,"Lowest25th",19.2,84.7,8.4,33.2,1.8,"Good","(33.31014939200, -111.746237467)"
"AZ","Glendale",226721,21.5,22.5,15.3,26.9,71.2,5.4,10.3,5.5,"Lowest25th",68.7,58.4,6.9,30.7,29.8,20.3,"BelowAvg",9.4,"BelowAvg",37.9,3.3,23.1,75.3,"Third25th",23.2,77.5,13.2,36,2.8,"Moderate","(33.57961230890, -112.225306421)"
"AZ","Mesa",439041,18.2,24.5,15.3,28.6,74,6.5,10,6.3,"Second25th",71.3,62.5,7.2,32.8,31.7,18.9,"NearAvg",9.2,"BelowAvg",39.2,3.6,21.5,75.6,"Second25th",22.2,79.3,12.5,34.2,3,"Moderate","(33.40228373590, -111.718721181)"
"AZ","Peoria",154065,13.6,24.6,15.6,28.4,74.7,6.9,9.6,6,"Second25th",74.9,64.9,6.5,34,33.7,17,"AboveAvg",8.7,"BelowAvg",39.1,3.5,19.1,77.2,"Second25th",20.5,81.8,11.1,33.1,2.8,"Good","(33.78472064220, -112.298680584)"
"AZ","Phoenix",1445632,23.7,21.6,15.3,26.7,70.1,5.1,10.3,5.3,"Lowest25th",67.5,57.9,6.6,31,30.3,20.4,"BelowAvg",9.4,"BelowAvg",37.4,3.3,23.5,75.3,"Third25th",23.8,77.7,13.4,36.2,2.7,"Moderate","(33.57241386950, -112.088995222)"
"AZ","Scottsdale",217385,9.2,25.6,14.8,30.9,77.1,8,8.9,6.2,"Third25th",77.9,70.3,5.8,36.8,37.1,13.1,"AboveAvg",8.1,"BelowAvg",41.5,3.6,15.5,79.4,"Lowest25th",19.7,84.1,9.5,29.8,2.7,"Good","(33.68724936510, -111.865085877)"
"AZ","Surprise",117517,14,26.1,14.8,30.5,76.8,7.6,9.4,6.6,"Third25th",76.2,69.3,6.7,34.8,35.6,16.6,"AboveAvg",9.3,"BelowAvg",40.6,3.7,19,77.6,"Lowest25th",20.8,82.3,11,32.7,3,"Good","(33.68038351770, -112.452218439)"
"AZ","Tempe",161719,16.9,17,17.9,22.1,66,4.4,10.1,4,"Lowest25th",60.6,62.9,5.1,33.4,32.8,18.2,"NearAvg",6.4,"AboveAvg",33.8,2.6,17.8,77.3,"Second25th",22.3,77.8,9.7,33.8,2,"Good","(33.38826403070, -111.931802302)"
"AZ","Tucson",520116,22,22.8,14.3,28.4,72,5.7,10.5,5.8,"Lowest25th",67.3,56.8,7.2,28.9,29.5,19.1,"BelowAvg",9.5,"BelowAvg",39,3.5,22.1,72,"Third25th",24,74.5,13.4,34.4,3,"Moderate","(32.15672444830, -110.877085494)"
"AZ","Yuma",93064,25.3,22,15.6,31.1,72.4,5.5,9.5,6.4,"Lowest25th",66.2,52.4,7,31.4,24.6,17.5,"BelowAvg",10.9,"BelowAvg",39.2,3.7,24.5,73,"Third25th",25.9,77.7,13.6,35.4,3.1,"Poor","(32.59860271170, -114.548368370)"
"AR","Fayetteville",73580,16.7,18,18.2,24.6,68.7,4.5,9.2,4.7,"Lowest25th",57.1,57.2,5.7,34.2,31.1,22.2,"BelowAvg",6.6,"AboveAvg",32.6,2.1,23,68.8,"Third25th",25.2,76,10.9,33.3,2,"Poor","(36.07121173120, -94.1659600436)"
"AR","Fort Smith",86209,22.9,27.8,13,38.2,76.8,6.3,9.8,8.3,"Second25th",68.1,54.8,9.3,29.2,29.6,25.8,"BelowAvg",12,"AboveAvg",40.2,3.2,33.9,70.8,"Top25th",28.3,72.7,17.3,37.7,3.7,"ExtremelyPoor","(35.34916926360, -94.3696317306)"
"AR","Jonesboro",67263,19,24.3,15,34.5,75.6,6,9.6,7,"Second25th",66,58.2,7.7,32.3,31.1,24.4,"BelowAvg",9.7,"AboveAvg",38.6,2.7,29.7,65.7,"Top25th",26.7,77,14.1,35.5,3,"Poor","(35.82081215380, -90.6794991686)"
"AR","Little Rock",193524,17.6,25.2,14,38.1,79.1,6,9.3,6.7,"Third25th",73.9,62.9,6.7,35,32.3,21.1,"NearAvg",11.8,"BelowAvg",39.5,3,26.7,75,"Third25th",25.5,82,13,36.6,3.3,"Poor","(34.72539578940, -92.3583751863)"
"AR","Springdale",69797,27.7,23.8,14.9,29.6,73.5,5.3,9.5,6.9,"Lowest25th",63.6,49.7,8.2,30,26.8,26.4,"BelowAvg",10.6,"AboveAvg",36.8,2.9,32.9,64.2,"Top25th",27,73.1,16.3,36.7,3.1,"ExtremelyPoor","(36.18699325980, -94.1536274531)"
